1	25	25	0.881578
26	75	50	-1.08218
76	125	50	1.04644
126	175	50	-0.973855
176	226	51	0.912763
227	275	49	-0.954001
276	325	50	0.963878
326	375	50	-1.16553
376	427	52	0.948964
428	477	50	-1.03237
478	528	51	1.00989
529	579	51	-1.058
580	629	50	1.00578
630	680	51	-0.966516
681	731	51	0.880261
732	782	51	-0.981674
783	833	51	0.932233
834	884	51	-0.993423
885	935	51	0.972748
936	987	52	-0.952707
988	1038	51	1.00063
1039	1089	51	-1.11525
1090	1141	52	0.972132
1142	1192	51	-1.01337
1193	1240	48	0.989811
1241	1640	400	-0.024666
1641	1659	19	0.942951
1660	1711	52	-1.03298
1712	1762	51	1.04929
1763	1800	38	-0.891182
1801	2203	403	-0.0100836
2204	2237	34	-1.09224
2238	2290	53	1.08781
2291	3008	718	0.0102065
3009	3018	10	1.05505
3019	3789	771	-0.0189048
3790	3806	17	0.783977
3807	3861	55	-1.07919
3862	3916	55	0.905778
3917	3972	56	-1.06105
3973	4027	55	0.92147
4028	4083	56	-1.05122
4084	4138	55	1.03442
4139	4194	56	-0.929501
4195	4213	19	1.02197
4214	4614	401	0.00585672
4615	4644	30	-1.09168
4645	4701	57	0.999008
4702	4757	56	-1.04801
4758	4769	12	1.08713
4770	5239	470	0.00902059
5240	5272	33	1.05266
5273	5329	57	-1.04036
5330	5387	58	0.917911
5388	5445	58	-1.03536
5446	5503	58	1.02264
5504	5561	58	-1.05859
5562	5619	58	1.04326
5620	5677	58	-1.03637
5678	5715	38	0.939118
5716	6116	401	0.00207372
6117	6147	31	-1.0037
6148	6206	59	0.970263
6207	6265	59	-0.976912
6266	6325	60	0.963748
6326	6384	59	-0.939701
6385	6445	61	1.01962
6446	6503	58	-1.02794
6504	6563	60	1.0506
6564	6623	60	-1.04006
6624	6677	54	0.990064
6678	7243	566	-0.00900357
7244	7289	46	1.09673
7290	7350	61	-0.995725
7351	7411	61	1.14703
7412	7473	62	-1.10337
7474	7534	61	1.05019
7535	7595	61	-1.0314
7596	7658	63	0.912745
7659	7719	61	-1.00825
7720	7733	14	1.05229
7734	8298	565	-0.0153896
8299	8345	47	-0.909402
8346	8408	63	0.960199
8409	8472	64	-1.01124
8473	8496	24	1.04935
8497	9290	794	0.00348716
9291	9307	17	1.22587
9308	9373	66	-1.043
9374	9388	15	1.1844
9389	10049	661	-0.00108517
10050	10100	51	1.08028
10101	10167	67	-1.0328
10168	10234	67	0.966172
10235	10241	7	-1.05904
10242	10641	400	-0.0278998
10642	10653	12	-0.823444
10654	11323	670	-0.00232744
11324	11329	6	0.958929
11330	11399	70	-0.987241
11400	11469	70	1.00858
11470	11539	70	-0.992632
11540	11609	70	0.948057
11610	11680	71	-1.00317
11681	11751	71	0.974167
11752	11821	70	-0.988661
11822	11893	72	1.00275
11894	11964	71	-0.980972
11965	11988	24	0.93766
11989	12389	401	-0.010928
12390	12395	6	-1.01343
12396	12468	73	0.894444
12469	12511	43	-1.14227
12512	12912	401	-0.0169076
12913	12918	6	-0.915878
12919	13319	401	-0.0113219
13320	13354	35	0.888943
13355	13371	17	-1.01017
13372	15185	1814	0.00466258
15186	15220	35	1.02427
15221	15231	11	-1.08247
15232	16249	1018	0.0100504
16250	16293	44	-1.03878
16294	16377	84	0.934303
16378	16462	85	-1.0391
16463	16547	85	0.975709
16548	16620	73	-1.0017
16621	17019	399	0.018922
