window,symbol,cost,profit,duration,rtn
0,000501,774.0069,24.80700000000003,6,0.03205010187893678
0,000600,4322.4532,193.1154999999992,21,0.04467729112717732
0,000681,6299.375999999999,663.7410000000003,14,0.10536615055205474
0,000685,711.502,0.0,0,0.0
0,000717,405.7420000000001,100.96999999999997,12,0.2488527192156591
0,000727,403.8196,38.61470000000003,23,0.09562363986294878
0,000732,2375.8802,49.07050000000004,8,0.02065360871309927
0,600021,466.86830000000003,0.0,0,0.0
0,600037,942.117,22.886000000000024,3,0.024292099601217285
0,600060,3496.9640000000004,322.6909999999998,11,0.09227747268773706
0,600064,1694.7990000000002,12.007000000000005,2,0.007084615933806902
0,600098,473.7208,56.114900000000034,15,0.11845563884887476
0,600166,93.6936,0.0,0,0.0
0,600216,928.9449,27.402799999999957,7,0.02949884325754946
0,600376,1064.1524,209.2288000000001,16,0.19661544718594828
0,600380,3419.3423000000003,0.0,0,0.0
0,600388,0.0,0.0,0,0.0
0,600409,2765.8000999999995,0.0,0,0.0
0,600507,609.947,55.9529,16,0.09173403590803791
0,600536,13751.460999999994,0.0,0,0.0
0,600545,1700.5017999999995,1.9318999999999988,5,0.0011360764216774128
0,600567,15.9824,0.9123999999999999,1,0.05708779657623385
0,600580,0.0,0.0,0,0.0
0,600582,2558.879,0.0,0,0.0
0,600598,243.0653,0.0,0,0.0
0,600737,0.0,0.0,0,0.0
0,600750,3937.1310000000003,273.9590000000003,7,0.06958340984844047
0,600757,1001.0388,37.118999999999986,6,0.03708048079654853
0,600770,3150.917,207.0809999999999,9,0.0657208679251151
0,600779,0.0,0.0,0,0.0
0,600782,243.59799999999998,10.407199999999982,6,0.042722846657197444
0,600875,182.16880000000003,0.0,0,0.0
1,000501,1108.2668999999999,31.52600000000004,6,0.028446216340125327
1,000541,1955.6811,43.950000000000045,11,0.022472989077820534
1,000600,2626.7409999999995,10.43549999999999,12,0.00397279366332653
1,000681,5463.532999999999,469.7579999999998,9,0.08598062828576306
1,000685,524.9870000000001,15.408999999999963,4,0.02935120298216901
1,000690,0.0,0.0,0,0.0
1,000727,444.8776000000001,34.5321999999999,20,0.0776217997939206
1,000732,2675.296300000001,0.0,0,0.0
1,600021,362.65689999999995,0.0,0,0.0
1,600037,789.092,28.379999999999995,5,0.03596538806628377
1,600060,2915.5559999999996,173.87699999999995,11,0.059637681457670504
1,600064,1534.632,0.0,0,0.0
1,600216,528.4981,0.0,0,0.0
1,600316,1645.5011000000002,81.52899999999988,8,0.04954660923654191
1,600376,911.3832,63.27359999999999,12,0.06942590120160212
1,600380,4215.0637,0.0,0,0.0
1,600388,0.0,0.0,0,0.0
1,600418,2215.1101,156.62900000000005,37,0.07070935209947354
1,600507,1709.732,398.87279999999987,25,0.23329551064143378
1,600567,15.9824,0.9123999999999999,1,0.05708779657623385
1,600580,70.3078,0.0,0,0.0
1,600582,2797.644,0.0,0,0.0
1,600639,2728.2893,465.9104000000002,37,0.1707701598947004
1,600718,17886.309,1292.4799999999987,22,0.07226085605476225
1,600750,5238.827,314.5460000000003,8,0.060041303139042435
1,600751,929.7190000000002,74.23899999999992,11,0.07985100874565315
1,600770,3854.9929999999995,207.0809999999999,9,0.053717607269325764
1,600782,464.1907,33.014399999999966,12,0.07112249340626593
1,600874,128.4375,3.013999999999996,4,0.023466666666666632
1,600875,413.7406,38.04920000000001,5,0.09196390201976798
2,000501,1201.8093,31.52600000000004,6,0.02623211519498147
2,000600,69.0785,-6.919200000000004,1,-0.10016430582598063
2,000681,6204.771,531.538,9,0.0856660141043078
2,000685,852.719,20.501999999999953,4,0.024043090396719143
2,000690,0.0,0.0,0,0.0
2,000727,109.1197,8.331800000000001,9,0.07635468206015963
2,000732,2171.5769,106.61130000000003,11,0.049093955641174865
2,600037,1276.1579000000002,22.886000000000024,3,0.017933517474600928
2,600060,2112.282,0.0,0,0.0
2,600064,2890.471,36.406000000000006,5,0.01259517912478624
2,600216,314.5032,0.0,0,0.0
2,600266,3292.6120000000005,360.61959999999993,43,0.10952386737338013
2,600316,808.0135,43.38499999999999,5,0.05369340982545464
2,600380,4485.884000000001,0.0,0,0.0
2,600507,2246.1197000000006,767.3345000000004,37,0.34162671740068
2,600511,0.0,0.0,0,0.0
2,600536,12675.027999999991,2374.7670000000007,33,0.18735792930792755
2,600567,0.0,0.0,0,0.0
2,600580,63.6739,0.0,0,0.0
2,600582,6129.24,6.868000000000052,2,0.0011205304409682198
2,600737,0.0,0.0,0,0.0
2,600750,5906.145999999999,391.96700000000055,14,0.06636595167136075
2,600751,1290.0716,133.5825000000001,16,0.10354657834495395
2,600770,5154.889,168.94600000000003,5,0.03277393557843826
2,600779,0.0,0.0,0,0.0
2,600782,763.7089000000001,51.48830000000001,18,0.06741875078318454
2,600874,139.74,3.013999999999996,4,0.02156862745098036
3,000501,2530.5822,235.49800000000005,14,0.09306079842022127
3,000600,0.0,0.0,0,0.0
3,000681,6356.017,531.538,9,0.08362752963058469
3,000685,1690.0819999999999,33.202999999999975,4,0.019645792334336425
3,000690,0.0,0.0,0,0.0
3,000727,143.8533,9.804099999999991,8,0.06815345911425036
3,000732,3281.6995000000006,0.0,0,0.0
3,600021,302.6233,0.0,0,0.0
3,600037,998.6199999999999,9.777000000000015,2,0.009790510905048984
3,600056,0.0,0.0,0,0.0
3,600060,2243.895,0.0,0,0.0
3,600216,411.9773,0.0,0,0.0
3,600266,2193.0430000000006,118.35429999999945,34,0.05396807084949973
3,600316,1021.5887,47.900999999999954,5,0.04688873320544751
3,600380,4760.245300000002,0.0,0,0.0
